   GoodVibes v3.0.1 2023/07/26 15:37:14
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output dft_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.

o  Found vibrational scaling factor of 0.975 for wB97XD/def2TZVP level of theory
   REF: I. M. Alecu, J. Zheng, Y. Zhao, and D. G. Truhlar, J. Chem. Theory Comput. 6, 2872-2887 (2010).

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-134-3_reactant_2,-244.500266,-244.443359,0.035897,-244.459695,0.027411,0.027412,-244.487106,-244.487107,
o  ts-135-2_reactant_1,-1036.451732,-1036.447667,0.191113,-1036.245944,0.052732,0.051280,-1036.298677,-1036.297224,
o  ts-135-2_reactant_2,-244.502857,-244.445550,0.035770,-244.462394,0.027444,0.027446,-244.489838,-244.489839,
o  ts-136-4_reactant_1,-1152.935792,-1152.932014,0.238425,-1152.680711,0.058391,0.055557,-1152.739103,-1152.736268,
o  ts-136-4_reactant_2,-244.503195,-244.445741,0.035877,-244.462616,0.027453,0.027454,-244.490069,-244.490070,
o  ts-137-2_reactant_1,-3075.218589,-3075.214897,0.184954,-3075.019679,0.051552,0.050132,-3075.071232,-3075.069811,
o  ts-137-2_reactant_2,-244.504046,-244.446475,0.035746,-244.463589,0.027472,0.027474,-244.491061,-244.491062,
o  ts-138-1_reactant_1,-3035.899479,-3035.894829,0.158301,-3035.728800,0.048399,0.047021,-3035.777199,-3035.775821,
o  ts-138-1_reactant_2,-244.503040,-244.445659,0.035801,-244.462544,0.027445,0.027447,-244.489989,-244.489990,
o  ts-139-3_reactant_1,-3091.280712,-3091.275797,0.175552,-3091.091704,0.050511,0.049058,-3091.142215,-3091.140762,
o  ts-139-3_reactant_2,-244.503347,-244.445866,0.035853,-244.462805,0.027432,0.027433,-244.490238,-244.490239,
o  ts-140-4_reactant_1,-3130.588190,-3130.583846,0.202888,-3130.370208,0.054397,0.052645,-3130.424605,-3130.422854,
o  ts-140-4_reactant_2,-244.503174,-244.445725,0.035857,-244.462631,0.027427,0.027429,-244.490058,-244.490059,
o  ts-141-3_reactant_1,-3322.317807,-3322.313315,0.254978,-3322.044805,0.062270,0.058973,-3322.107074,-3322.103777,
o  ts-141-3_reactant_2,-244.500168,-244.443175,0.035895,-244.459588,0.027426,0.027427,-244.487014,-244.487015,
o  ts-14-1_reactant_1,-864.150519,-864.146176,0.178304,-863.958974,0.048306,0.047611,-864.007280,-864.006585,
o  ts-14-1_reactant_2,-244.501362,-244.444268,0.035807,-244.460873,0.027425,0.027427,-244.488298,-244.488300,
o  ts-142-2_reactant_1,-3169.885215,-3169.881008,0.230264,-3169.638660,0.056587,0.054790,-3169.695247,-3169.693451,
o  ts-142-2_reactant_2,-244.500041,-244.443162,0.035900,-244.459468,0.027409,0.027410,-244.486877,-244.486878,
o  ts-143-3_reactant_1,-3150.456669,-3150.452819,0.190482,-3150.251275,0.053926,0.052387,-3150.305201,-3150.303662,
o  ts-143-3_reactant_2,-244.503518,-244.446070,0.035761,-244.463056,0.027455,0.027457,-244.490512,-244.490513,
o  ts-144-2_reactant_1,-3266.942147,-3266.937917,0.237096,-3266.687758,0.061266,0.057675,-3266.749025,-3266.745433,
o  ts-144-2_reactant_2,-244.502667,-244.445284,0.035886,-244.462102,0.027415,0.027416,-244.489518,-244.489519,
o  ts-145-5_reactant_1,-732.648672,-732.644643,0.274311,-732.358033,0.056223,0.054266,-732.414256,-732.412299,
o  ts-145-5_reactant_2,-244.503867,-244.446239,0.035852,-244.463316,0.027451,0.027452,-244.490766,-244.490768,
o  ts-146-3_reactant_1,-693.331729,-693.326942,0.247475,-693.068617,0.055178,0.053141,-693.123794,-693.121758,
o  ts-146-3_reactant_2,-244.502559,-244.445273,0.035822,-244.462046,0.027437,0.027438,-244.489483,-244.489485,
o  ts-147-3_reactant_1,-748.700706,-748.695109,0.264906,-748.419215,0.058794,0.055573,-748.478009,-748.474788,
o  ts-147-3_reactant_2,-244.500061,-244.442956,0.035898,-244.459487,0.027414,0.027415,-244.486901,-244.486902,
o  ts-148-5_reactant_1,-788.009813,-788.004617,0.292301,-787.699290,0.061222,0.058391,-787.760511,-787.757681,
o  ts-148-5_reactant_2,-244.499433,-244.442402,0.035883,-244.458877,0.027412,0.027414,-244.486290,-244.486291,
o  ts-149-4_reactant_1,-979.753700,-979.748219,0.343673,-979.388561,0.069812,0.065356,-979.458374,-979.453918,
o  ts-149-4_reactant_2,-244.500116,-244.443043,0.035967,-244.459496,0.027375,0.027376,-244.486871,-244.486872,
o  ts-150-4_reactant_1,-827.324262,-827.319309,0.319388,-826.985188,0.063744,0.061017,-827.048931,-827.046205,
o  ts-150-4_reactant_2,-244.500185,-244.443241,0.035910,-244.459608,0.027401,0.027402,-244.487009,-244.487010,
o  ts-151-4_reactant_1,-807.890604,-807.886030,0.279538,-807.592719,0.061781,0.058822,-807.654500,-807.651541,
o  ts-151-4_reactant_2,-244.502734,-244.445302,0.035895,-244.462160,0.027415,0.027416,-244.489575,-244.489576,
o  ts-15-1_reactant_1,-844.724795,-844.722065,0.139184,-844.574096,0.044689,0.044177,-844.618786,-844.618274,
