   GoodVibes v3.0.1 2023/07/26 15:35:16
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-171-1_reactant_1,-0.063485,-0.059846,0.099497,0.044874,0.039162,0.038272,0.005712,0.006601,
o  ts-171-1_reactant_2,-0.101631,-0.042362,0.039338,-0.057792,0.027152,0.027153,-0.084944,-0.084945,
o  ts-17-1_reactant_1,-0.048507,-0.046365,0.137731,0.099906,0.043909,0.043085,0.055997,0.056822,
o  ts-17-1_reactant_2,-0.101555,-0.042268,0.039326,-0.057727,0.027154,0.027155,-0.084881,-0.084882,
o  ts-172-1_reactant_1,-0.057663,-0.054625,0.127176,0.080070,0.043704,0.042257,0.036366,0.037813,
o  ts-172-1_reactant_2,-0.101630,-0.042363,0.039337,-0.057790,0.027155,0.027156,-0.084945,-0.084946,
o  ts-173-2_reactant_1,-0.009817,-0.006252,0.183351,0.186783,0.050884,0.048694,0.135899,0.138089,
o  ts-173-2_reactant_2,-0.104374,-0.044911,0.039514,-0.060362,0.027144,0.027145,-0.087506,-0.087507,
o  ts-174-1_reactant_1,-0.040695,-0.037524,0.155031,0.126251,0.046624,0.045212,0.079627,0.081040,
o  ts-174-1_reactant_2,-0.098026,-0.038972,0.039110,-0.054400,0.027176,0.027177,-0.081576,-0.081577,
o  ts-175-1_reactant_1,-0.135092,-0.131770,0.115731,-0.009168,0.042783,0.041745,-0.051951,-0.050913,
o  ts-175-1_reactant_2,-0.105149,-0.045597,0.039557,-0.061098,0.027139,0.027140,-0.088237,-0.088238,
o  ts-176-1_reactant_1,-0.005634,-0.002620,0.165677,0.172158,0.047949,0.046153,0.124209,0.126006,
o  ts-176-1_reactant_2,-0.103207,-0.043844,0.039440,-0.059268,0.027146,0.027147,-0.086414,-0.086415,
o  ts-177-2_reactant_1,-0.044962,-0.042170,0.109312,0.073798,0.041535,0.040552,0.032263,0.033246,
o  ts-177-2_reactant_2,-0.104467,-0.044995,0.039516,-0.060454,0.027143,0.027144,-0.087597,-0.087598,
o  ts-178-1_reactant_1,-0.036180,-0.033631,0.081229,0.053027,0.037752,0.037357,0.015275,0.015670,
o  ts-178-1_reactant_2,-0.105464,-0.045866,0.039580,-0.061391,0.027137,0.027138,-0.088528,-0.088528,
o  ts-179-1_reactant_1,-0.045821,-0.041511,0.098818,0.062087,0.040248,0.039529,0.021839,0.022559,
o  ts-179-1_reactant_2,-0.102615,-0.043288,0.039403,-0.058711,0.027150,0.027151,-0.085861,-0.085862,
o  ts-180-1_reactant_1,-0.039651,-0.036183,0.126438,0.097618,0.045025,0.043625,0.052593,0.053993,
o  ts-180-1_reactant_2,-0.102636,-0.043305,0.039403,-0.058731,0.027150,0.027151,-0.085881,-0.085882,
o  ts-181-1_reactant_1,0.009632,0.013883,0.182500,0.205722,0.052697,0.050147,0.153024,0.155575,
o  ts-181-1_reactant_2,-0.103766,-0.044358,0.039479,-0.059786,0.027147,0.027148,-0.086933,-0.086934,
o  ts-182-2_reactant_1,-0.022851,-0.019198,0.154180,0.143618,0.048543,0.046758,0.095075,0.096860,
o  ts-182-2_reactant_2,-0.098261,-0.039195,0.039130,-0.054617,0.027174,0.027175,-0.081790,-0.081791,
o  ts-18-2_reactant_1,-0.043833,-0.041816,0.109233,0.074907,0.041352,0.040607,0.033556,0.034300,
o  ts-18-2_reactant_2,-0.104462,-0.044966,0.039510,-0.060456,0.027141,0.027142,-0.087598,-0.087598,
o  ts-183-1_reactant_1,-0.116872,-0.112672,0.115042,0.008580,0.044062,0.042978,-0.035482,-0.034398,
o  ts-183-1_reactant_2,-0.105343,-0.045758,0.039571,-0.061277,0.027139,0.027140,-0.088416,-0.088417,
o  ts-184-1_reactant_1,0.012541,0.015862,0.164933,0.189874,0.049520,0.047426,0.140354,0.142448,
o  ts-184-1_reactant_2,-0.102988,-0.043647,0.039430,-0.059058,0.027147,0.027148,-0.086205,-0.086206,
o  ts-185-1_reactant_1,-0.002661,0.000683,0.203456,0.213061,0.047098,0.045822,0.165963,0.167239,
o  ts-185-1_reactant_2,-0.100684,-0.041449,0.039274,-0.056903,0.027161,0.027162,-0.084064,-0.084065,
o  ts-186-2_reactant_1,0.001251,0.004647,0.175449,0.187467,0.043242,0.042651,0.144225,0.144815,
o  ts-186-2_reactant_2,-0.104505,-0.045021,0.039513,-0.060495,0.027142,0.027143,-0.087637,-0.087638,
o  ts-187-1_reactant_1,-0.002420,0.002050,0.192670,0.202404,0.047289,0.045699,0.155115,0.156706,
o  ts-187-1_reactant_2,-0.096751,-0.037717,0.039028,-0.053204,0.027183,0.027185,-0.080387,-0.080388,
o  ts-188-1_reactant_1,0.003361,0.007271,0.220336,0.237608,0.052605,0.049841,0.185003,0.187767,
o  ts-188-1_reactant_2,-0.096803,-0.037762,0.039033,-0.053250,0.027184,0.027185,-0.080434,-0.080435,
