   GoodVibes v3.0.1 2023/07/26 15:58:11
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_ts 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts-266-2,-0.103533,-0.055284,0.169402,0.081833,0.057603,0.055008,0.024229,0.026825,
o  ts-267-1,-0.114311,-0.068393,0.187518,0.090124,0.059640,0.056613,0.030484,0.033511,
o  ts-268-1,-0.107857,-0.062475,0.215044,0.125878,0.064342,0.060496,0.061536,0.065382,
o  ts-269-2,-0.063936,-0.020839,0.271373,0.228597,0.069683,0.065655,0.158914,0.162942,
o  ts-270-1,-0.097257,-0.039928,0.241865,0.165517,0.071592,0.065895,0.093925,0.099623,
o  ts-271-2,-0.184080,-0.133244,0.202921,0.037480,0.064262,0.060722,-0.026782,-0.023242,
o  ts-272-2,-0.052833,-0.002156,0.252951,0.220633,0.069073,0.064650,0.151560,0.155983,
o  ts-27-2,-0.111616,-0.067261,0.263468,0.168927,0.058116,0.056049,0.110811,0.112878,
o  ts-273-1,-0.156270,-0.107309,0.113803,-0.029547,0.050397,0.048429,-0.079943,-0.077975,
o  ts-274-1,-0.151392,-0.098347,0.085320,-0.054246,0.048982,0.046628,-0.103229,-0.100874,
o  ts-275-1,-0.157384,-0.109236,0.103858,-0.041182,0.048718,0.047059,-0.089900,-0.088241,
o  ts-276-2,-0.150640,-0.103642,0.131242,-0.005268,0.053688,0.051179,-0.058956,-0.056447,
o  ts-277-1,-0.104937,-0.060707,0.187221,0.099084,0.060574,0.056996,0.038510,0.042088,
o  ts-278-2,-0.139548,-0.092055,0.158808,0.034984,0.057484,0.054572,-0.022500,-0.019588,
o  ts-279-2,-0.230120,-0.175430,0.119189,-0.096658,0.055618,0.052163,-0.152276,-0.148822,
o  ts-280-2,-0.103986,-0.055899,0.169502,0.081288,0.057571,0.054814,0.023717,0.026474,
