   GoodVibes v3.0.1 2024/04/16 15:40:52
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: -c 1 -t 298.15 --spc SPE --csv --output am1_dist_gs 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for AM1/ZDO level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  ts_172_am1_reopt_2_reactant_1,-0.041001,-0.030938,0.127407,0.096583,0.042294,0.041500,0.054289,0.055083,
o  ts_172_am1_reopt_2_reactant_2,-0.402204,-0.308370,0.122825,-0.269320,0.042151,0.041434,-0.311470,-0.310754,
o  ts_173_am1_reopt_reactant_1,0.007617,0.018750,0.183288,0.203874,0.049760,0.048049,0.154113,0.155825,
o  ts_173_am1_reopt_reactant_2,-0.404822,-0.309826,0.122925,-0.271838,0.042100,0.041447,-0.313938,-0.313285,
o  ts_174_am1_reopt_reactant_1,-0.031935,-0.025515,0.154943,0.134739,0.046076,0.044760,0.088663,0.089979,
o  ts_174_am1_reopt_reactant_2,-0.405862,-0.312256,0.123028,-0.272820,0.041995,0.041340,-0.314815,-0.314159,
o  ts_175_am1_reopt_reactant_1,-0.121595,-0.114394,0.115478,0.003928,0.042208,0.041375,-0.038279,-0.037446,
o  ts_175_am1_reopt_reactant_2,-0.407048,-0.313275,0.123059,-0.273993,0.041851,0.041280,-0.315844,-0.315273,
o  ts_176_am1_reopt_reactant_1,0.004465,0.010963,0.165396,0.181055,0.045330,0.044160,0.135726,0.136895,
o  ts_176_am1_reopt_reactant_2,-0.407752,-0.314264,0.123123,-0.274638,0.041903,0.041284,-0.316541,-0.315923,
o  ts_177_am1_reopt_reactant_1,-0.032365,-0.026628,0.109346,0.086119,0.040231,0.039767,0.045888,0.046352,
o  ts_177_am1_reopt_reactant_2,-0.407349,-0.313669,0.123102,-0.274259,0.041843,0.041271,-0.316102,-0.315530,
o  ts_178_am1_reopt_reactant_1,-0.023291,-0.017946,0.081062,0.065600,0.037195,0.037019,0.028406,0.028581,
o  ts_178_am1_reopt_reactant_2,-0.407661,-0.313981,0.123109,-0.274565,0.041838,0.041272,-0.316403,-0.315836,
o  ts_179_am1_reopt_2_reactant_1,-0.036814,-0.027859,0.098862,0.070938,0.039697,0.039136,0.031242,0.031802,
o  ts_179_am1_reopt_2_reactant_2,-0.406481,-0.312941,0.123073,-0.273407,0.041949,0.041305,-0.315356,-0.314712,
o  ts_17_am1_reopt_reactant_1,-0.032897,-0.028247,0.137548,0.115258,0.043775,0.042867,0.071483,0.072391,
o  ts_17_am1_reopt_reactant_2,-0.403618,-0.309751,0.122994,-0.270634,0.041859,0.041273,-0.312493,-0.311907,
o  ts_180_am1_reopt_2_reactant_1,-0.024095,-0.011983,0.126723,0.113046,0.043630,0.042741,0.069416,0.070306,
o  ts_180_am1_reopt_2_reactant_2,-0.402402,-0.308564,0.122835,-0.269505,0.042164,0.041442,-0.311668,-0.310947,
o  ts_181_am1_reopt_reactant_1,0.024359,0.037472,0.182572,0.220184,0.051441,0.049385,0.168743,0.170799,
o  ts_181_am1_reopt_reactant_2,-0.404943,-0.309947,0.122938,-0.271950,0.042088,0.041439,-0.314038,-0.313390,
o  ts_182_am1_reopt_2_reactant_1,-0.013838,-0.006364,0.154233,0.152380,0.047227,0.045999,0.105153,0.106380,
